SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1964,-93.08717635179724,16.776393113997177,0.2555746140651801,0.2864493996569468,0.051457975986277875,periferia oriente norte,0.030874785591766707,583,7,3,5,5,Periferia norte
1967,-93.08590283293108,16.775428909922343,0.2707993474714519,0.2234910277324633,0.052202283849918436,periferia oriente norte,-0.04730831973898861,613,7,3,3,5,Periferia norte
1968,-93.08451443271987,16.77586839789378,0.2826747720364742,0.1413373860182371,0.0486322188449848,periferia oriente norte,-0.1413373860182371,658,7,3,3,5,Periferia norte
1971,-93.08408951622421,16.771947494432975,0.4507042253521127,0.3227699530516432,0.07746478873239436,centro oriente norte,-0.1279342723004695,852,7,3,3,5,Periferia norte
1970,-93.08635426503018,16.77299685305567,0.33204633204633205,0.22393822393822393,0.07722007722007722,centro oriente norte,-0.10810810810810811,518,7,3,3,5,Periferia norte
1969,-93.08797292819905,16.773567545224875,0.3581780538302277,0.17805383022774326,0.062111801242236024,centro oriente norte,-0.18012422360248445,483,7,3,3,5,Periferia norte
1972,-93.0896425800774,16.77021969128106,0.3624733475479744,0.2579957356076759,0.042643923240938165,centro oriente norte,-0.10447761194029848,469,7,3,3,3,Centro oriente
1973,-93.08659710997752,16.77100450702026,0.047706422018348627,0.24770642201834864,0.047706422018348627,centro oriente norte,0.2,545,7,3,1,5,Periferia norte
1974,-93.0853156251696,16.768901903422183,0.06077348066298342,0.23941068139963168,0.05156537753222836,centro oriente norte,0.17863720073664824,543,7,3,1,5,Periferia norte
1975,-93.08777550731,16.76916009976958,0.09468822170900693,0.4295612009237875,0.09699769053117784,centro oriente norte,0.3348729792147806,433,7,5,5,5,Periferia norte
1737,-93.17776135867294,16.719040591951767,0.16757699893794567,0.2301623425883781,0.06569564557730238,periferia poniente sur,0.06258534365043242,13182,5,2,4,4,Periferia sur poniente
2013,-93.06286428715151,16.76076786475503,0.24434389140271492,0.334841628959276,0.09954751131221719,periferia oriente norte,0.09049773755656107,442,8,1,1,1,Periferia sur oriente
2014,-93.06452726700137,16.76078148807022,0.0770440251572327,0.19025157232704404,0.06132075471698113,periferia oriente norte,0.11320754716981134,636,8,4,1,1,Periferia sur oriente
2015,-93.06740522022025,16.758902822861387,0.06548431105047749,0.16371077762619374,0.05184174624829468,periferia oriente norte,0.09822646657571625,733,8,4,1,1,Periferia sur oriente
2018,-93.06695868644506,16.7562433622371,0.1298342541436464,0.13397790055248618,0.023480662983425413,periferia oriente norte,0.004143646408839768,724,8,4,1,1,Periferia sur oriente
